name,url,path,aliases,tags
chicken,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/chicken.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/chicken.opus,,
chickens,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/chickens.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/chickens.opus,gobchicken,arrested
chilis,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/chilis.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/chilis.opus,"chili, hi",
choke,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/choke.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/choke.opus,"tower, jeff3","overwatch,suicidal,problematic"
cinnamon,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cinnamon.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cinnamon.opus,"hereicome, iamcinnamon",
classical,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/classical.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/classical.opus,,rap
clubsauce,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/clubsauce.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/clubsauce.opus,,arrested
cocaine,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cocaine.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cocaine.opus,,
Coco,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/Coco.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/Coco.opus,BakingSoda,rap
college,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/college.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/college.opus,,
comeon,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/comeon.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/comeon.opus,,arrested
comeoncry,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/comeoncry.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/comeoncry.opus,"cryingcomeon, qqcomeon",arrested
consequences,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/consequences.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/consequences.opus,fricks,
constitution,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/constitution.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/constitution.opus,,politician
cookies,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cookies.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cookies.opus,,
cookingbythebook,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cookingbythebook.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cookingbythebook.opus,,lazytown
corona,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/corona.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/corona.opus,coronatime,
cosbymon,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cosbymon.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cosbymon.opus,,
cow,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cow.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cow.opus,milkingacow,
crash,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/crash.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/crash.opus,,
crash2,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/crash2.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/crash2.opus,,
crazytrump,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/crazytrump.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/crazytrump.opus,,
creamofthecrop,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/creamofthecrop.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/creamofthecrop.opus,,
creep,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/creep.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/creep.opus,,alexjones
crocodiles,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/crocodiles.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/crocodiles.opus,"northqueensland, aintspendinganytimeonit",
croissant,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/croissant.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/croissant.opus,,
croissant2,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/croissant2.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/croissant2.opus,,
cumonmyface,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cumonmyface.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cumonmyface.opus,,
cups,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/cups.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/cups.opus,,
curb,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/curb.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/curb.opus,,
dab,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dab.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dab.opus,"lookatmydab, bitchdab, migosdab, dabmigos",
dabofranch,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dabofranch.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dabofranch.opus,"ranch, ∂ranch",
